hour,outdoor_temp,pv_generation,price_tier,ppo_bill,ppo_cumulative_bill,ppo_grid_import,ppo_soc,ppo_indoor_temp,ppo_comfort,hybrid_bill,hybrid_cumulative_bill,hybrid_grid_import,hybrid_soc,hybrid_indoor_temp,hybrid_comfort,hybrid_pv_used,hybrid_battery_used
0,24.464466094067262,0.0,1,11606.4,11606.4,5.85,18.42105263157895,24.946446609406724,99.46446609406723,0.0,0.0,0.0,18.42105263157895,24.946446609406724,99.46446609406723,0.0,3.0
1,23.669872981077805,0.0,1,9225.6,20832.0,4.65,10.0,24.81878924657384,98.1878924657384,0.0,0.0,0.0,10.0,24.81878924657384,98.1878924657384,0.0,3.0
2,23.17037086855466,0.0,1,2790.2721239089988,23622.272123909,1.4063871592283252,10.0,24.653947408771916,96.53947408771916,0.0,0.0,0.0,10.0,24.653947408771916,96.53947408771916,0.0,3.0
3,23.0,0.0,1,1834.8422072887406,25457.11433119774,0.9248196609318255,10.0,24.488552667894727,94.88552667894726,0.0,0.0,0.0,10.0,24.488552667894727,94.88552667894726,0.0,3.0
4,23.17037086855466,0.0,1,0.0,25457.11433119774,0.0,10.0,24.35673448796072,93.56734487960719,0.0,0.0,0.0,10.0,24.35673448796072,93.56734487960719,0.0,3.0
5,23.66987298107781,0.0,1,0.0,25457.11433119774,0.0,10.0,24.28804833727243,92.88048337272429,0.0,0.0,0.0,10.0,24.28804833727243,92.88048337272429,0.0,3.0
6,24.464466094067262,0.0,1,0.0,25457.11433119774,0.0,10.0,24.30569011295191,93.0569011295191,0.0,0.0,0.0,10.0,24.30569011295191,93.0569011295191,0.0,3.0
7,25.5,0.0,1,0.0,25457.11433119774,0.0,10.0,24.425121101656725,94.25121101656725,0.0,0.0,0.0,10.0,24.425121101656725,94.25121101656725,0.0,3.0
8,26.705904774487397,0.0,1,0.0,25457.11433119774,0.0,10.0,24.65319946893979,96.53199468939789,0.0,0.0,0.0,10.0,24.521240229297963,95.21240229297962,0.0,3.0
9,28.0,0.0,1,0.0,25457.11433119774,0.0,10.0,24.987879522045812,99.87879522045813,0.0,0.0,0.0,10.0,24.616669127742806,96.16669127742807,0.0,3.0
10,29.294095225512603,0.0,1,0.0,25457.11433119774,0.0,10.0,25.41850109239249,95.81498907607511,0.0,0.0,0.0,10.0,24.66470357497363,96.64703574973629,0.0,3.0
11,30.5,0.0,1,0.0,25457.11433119774,0.0,10.0,25.92665098315324,90.7334901684676,0.0,0.0,0.0,10.0,24.595234059769368,95.95234059769368,0.0,3.0
12,31.535533905932738,0.0,1,0.0,25457.11433119774,0.0,10.0,26.48753927543119,85.12460724568811,0.0,0.0,0.0,10.0,24.503794303756507,95.03794303756507,0.0,3.0
13,32.33012701892219,0.0,1,0.0,25457.11433119774,0.0,10.0,27.071798049780288,79.28201950219713,0.0,0.0,0.0,10.0,24.441144737524553,94.41144737524553,0.0,3.0
14,32.829629131445344,0.0,1,0.0,25457.11433119774,0.0,10.0,27.647581157946792,73.52418842053208,0.0,0.0,0.0,10.0,24.381609226722905,93.81609226722904,0.0,3.0
15,33.0,0.0,1,0.0,25457.11433119774,0.0,10.0,28.182823042152112,68.17176957847889,0.0,0.0,0.0,10.0,24.277912208538208,92.77912208538208,0.0,3.0
16,32.829629131445344,0.0,1,0.0,25457.11433119774,0.0,10.0,28.60925503263763,63.907449673623695,0.0,0.0,0.0,10.0,24.101351085821552,91.01351085821551,0.0,3.0
17,32.33012701892219,0.0,1,0.0,25457.11433119774,0.0,10.0,28.937465781999013,60.62534218000987,0.0,0.0,0.0,10.0,23.860167479506284,88.60167479506285,0.0,3.0
18,31.535533905932738,0.0,1,0.0,25457.11433119774,0.0,10.0,29.137362734099316,58.62637265900684,1551.8533936500548,1551.8533936500548,0.7821841701865195,10.0,23.013400046510473,80.13400046510472,0.0,3.0
19,30.5,0.0,1,0.0,25457.11433119774,0.0,10.0,29.27362646068939,57.26373539310611,2134.1148191452035,3685.9682127952583,1.0756627112627033,10.0,22.03587005102106,70.35870051021061,0.0,3.0
20,29.294095225512606,0.0,1,0.0,25457.11433119774,0.0,10.0,29.27567333717171,57.243266628282896,266.79192886352484,3952.760141658783,0.13447173833847037,10.0,21.34348101894972,63.434810189497206,0.0,3.0
21,28.0,0.0,1,0.0,25457.11433119774,0.0,10.0,29.14810600345454,58.5189399654546,0.0,3952.760141658783,0.0,10.0,20.927047332453984,59.27047332453984,0.0,3.0
22,26.705904774487397,0.0,1,0.0,25457.11433119774,0.0,10.0,28.903885880557823,60.96114119442177,0.0,3952.760141658783,0.0,10.0,21.00374901300417,60.03749013004171,0.0,3.0
23,25.5,0.0,1,834.6142476558707,26291.72857885361,0.4206725038588046,10.0,28.563497292502046,64.36502707497954,0.0,3952.760141658783,0.0,10.0,21.453374111703756,64.53374111703755,0.0,3.0
